"","Reduction","Percent_Reduction_Offending","Country"
"1",1,-0.581741033947993,"Argentina"
"2",2,-1.17969577781922,"Argentina"
"3",3,-2.44790228624458,"Argentina"
"4",4,-4.02624723794099,"Argentina"
"5",5,-4.34538303030043,"Argentina"
"6",6,-5.17857497739408,"Argentina"
"7",7,-5.71004849447765,"Argentina"
"8",8,-6.52582926073838,"Argentina"
"9",9,-7.69953960159337,"Argentina"
"10",10,-8.58869210212069,"Argentina"
"11",11,-10.1791693416184,"Argentina"
"12",12,-9.3569871095056,"Argentina"
"13",13,-11.2134212628332,"Argentina"
"14",14,-12.8375929915711,"Argentina"
"15",15,-13.4644476897364,"Argentina"
"16",16,-13.905331667405,"Argentina"
"17",17,-14.2995551902543,"Argentina"
"18",18,-15.9119007573989,"Argentina"
"19",19,-15.5189340755139,"Argentina"
"20",20,-16.0264811151954,"Argentina"
"21",1,-0.393887396496244,"Austria"
"22",2,-0.585859775023009,"Austria"
"23",3,-1.25747310400289,"Austria"
"24",4,-1.30688543144057,"Austria"
"25",5,-1.24042968567733,"Austria"
"26",6,-1.45718199496289,"Austria"
"27",7,-1.97723625034419,"Austria"
"28",8,-1.69922014333186,"Austria"
"29",9,-2.34186229046689,"Austria"
"30",10,-2.19423444140873,"Austria"
"31",11,-2.80651156753544,"Austria"
"32",12,-2.68861430088161,"Austria"
"33",13,-3.25731459027782,"Austria"
"34",14,-3.02510432291756,"Austria"
"35",15,-2.87229222183101,"Austria"
"36",16,-3.06031045641938,"Austria"
"37",17,-2.99849663832883,"Austria"
"38",18,-3.22815353512872,"Austria"
"39",19,-3.84033630587805,"Austria"
"40",20,-4.11788721477063,"Austria"
"41",1,-1.88081703437078,"Bosnia Herz."
"42",2,-2.54339294856603,"Bosnia Herz."
"43",3,-1.89350022477569,"Bosnia Herz."
"44",4,-3.43132060709042,"Bosnia Herz."
"45",5,-3.56909805605099,"Bosnia Herz."
"46",6,-4.5341280041242,"Bosnia Herz."
"47",7,-5.80270068614791,"Bosnia Herz."
"48",8,-9.12748623862482,"Bosnia Herz."
"49",9,-8.76784627017887,"Bosnia Herz."
"50",10,-8.92059818637343,"Bosnia Herz."
"51",11,-11.8318752757271,"Bosnia Herz."
"52",12,-13.5996905896834,"Bosnia Herz."
"53",13,-13.5617710773379,"Bosnia Herz."
"54",14,-13.1741076945929,"Bosnia Herz."
"55",15,-16.688678754494,"Bosnia Herz."
"56",16,-16.9825843618428,"Bosnia Herz."
"57",17,-17.3179476732011,"Bosnia Herz."
"58",18,-17.4489992645378,"Bosnia Herz."
"59",19,-20.164404755313,"Bosnia Herz."
"60",20,-21.6447357064444,"Bosnia Herz."
"61",1,0.339845656637494,"Brazil"
"62",2,-0.457499931090835,"Brazil"
"63",3,0.891439028033276,"Brazil"
"64",4,-2.39181057378756,"Brazil"
"65",5,-2.19067639510314,"Brazil"
"66",6,-3.18508108852498,"Brazil"
"67",7,-2.04783501137087,"Brazil"
"68",8,-3.62039037101486,"Brazil"
"69",9,-4.19872295338669,"Brazil"
"70",10,-3.31615780717213,"Brazil"
"71",11,-2.89205866510511,"Brazil"
"72",12,-3.56783892323741,"Brazil"
"73",13,-5.35328519474824,"Brazil"
"74",14,-5.44825044730183,"Brazil"
"75",15,-6.27061494428598,"Brazil"
"76",16,-7.33304039533584,"Brazil"
"77",17,-7.90441451830335,"Brazil"
"78",18,-7.81930568816821,"Brazil"
"79",19,-8.12695952399676,"Brazil"
"80",20,-7.53997175263083,"Brazil"
"81",1,-1.04239139113096,"Colombia"
"82",2,-2.78483228155676,"Colombia"
"83",3,-1.60724024166521,"Colombia"
"84",4,-4.88206074091377,"Colombia"
"85",5,-4.98164964502241,"Colombia"
"86",6,-6.20096010223866,"Colombia"
"87",7,-6.64466444044796,"Colombia"
"88",8,-6.95860182412534,"Colombia"
"89",9,-6.49620501082033,"Colombia"
"90",10,-7.44772494727841,"Colombia"
"91",11,-7.39878433495988,"Colombia"
"92",12,-7.78238693465575,"Colombia"
"93",13,-8.36560806744292,"Colombia"
"94",14,-7.50829057494974,"Colombia"
"95",15,-8.08309699369142,"Colombia"
"96",16,-8.07881195576612,"Colombia"
"97",17,-8.82045578154988,"Colombia"
"98",18,-9.10892269296899,"Colombia"
"99",19,-9.34009083942395,"Colombia"
"100",20,-9.35515507820284,"Colombia"
"101",1,-0.0918001835765358,"Czech Republic"
"102",2,-0.702029763605567,"Czech Republic"
"103",3,-1.99336481961359,"Czech Republic"
"104",4,-3.34153659654122,"Czech Republic"
"105",5,-3.83009837896051,"Czech Republic"
"106",6,-4.10234420221605,"Czech Republic"
"107",7,-4.90368602910568,"Czech Republic"
"108",8,-4.92042787440829,"Czech Republic"
"109",9,-5.15895910971986,"Czech Republic"
"110",10,-5.25328179037715,"Czech Republic"
"111",11,-6.42201330571898,"Czech Republic"
"112",12,-7.63499868092014,"Czech Republic"
"113",13,-8.89629292617876,"Czech Republic"
"114",14,-9.20112866239971,"Czech Republic"
"115",15,-9.79716560279184,"Czech Republic"
"116",16,-10.4268939308618,"Czech Republic"
"117",17,-12.15655955313,"Czech Republic"
"118",18,-12.1679995560112,"Czech Republic"
"119",19,-12.0453339948698,"Czech Republic"
"120",20,-12.6394422866335,"Czech Republic"
