"","Reduction","Percent_Reduction_Offending","Country"
"1",1,-0.444495867946173,"Argentina"
"2",2,-0.897891391106271,"Argentina"
"3",3,-1.34499742792775,"Argentina"
"4",4,-1.46991067572644,"Argentina"
"5",5,-2.11727228649476,"Argentina"
"6",6,-2.54984880399294,"Argentina"
"7",7,-3.14433983422259,"Argentina"
"8",8,-3.41690065753987,"Argentina"
"9",9,-3.94279296040544,"Argentina"
"10",10,-4.29151983394324,"Argentina"
"11",11,-4.66498113471928,"Argentina"
"12",12,-5.28475831550898,"Argentina"
"13",13,-5.78417041736533,"Argentina"
"14",14,-6.05981364468262,"Argentina"
"15",15,-6.21863524675074,"Argentina"
"16",16,-7.09453800441402,"Argentina"
"17",17,-7.32107680403361,"Argentina"
"18",18,-7.56830263789564,"Argentina"
"19",19,-7.85769864159205,"Argentina"
"20",20,-8.26931216122218,"Argentina"
"21",1,-0.594937143340937,"Austria"
"22",2,-0.691868158405634,"Austria"
"23",3,-1.12922155160659,"Austria"
"24",4,-1.29248975498503,"Austria"
"25",5,-1.70107787885091,"Austria"
"26",6,-2.1620730285714,"Austria"
"27",7,-2.57913071614346,"Austria"
"28",8,-2.78250787686716,"Austria"
"29",9,-2.67735781215575,"Austria"
"30",10,-3.45617999063273,"Austria"
"31",11,-3.54762152582799,"Austria"
"32",12,-3.61719425723637,"Austria"
"33",13,-4.08450330900024,"Austria"
"34",14,-4.19813790231796,"Austria"
"35",15,-4.98521742313055,"Austria"
"36",16,-4.98519976426804,"Austria"
"37",17,-5.06594855765172,"Austria"
"38",18,-5.70147634907983,"Austria"
"39",19,-5.89018413379518,"Austria"
"40",20,-6.06759367984221,"Austria"
"41",1,-0.691708077349663,"Bosnia Herz."
"42",2,-0.719583561392592,"Bosnia Herz."
"43",3,-1.2790778069105,"Bosnia Herz."
"44",4,-1.61550148766056,"Bosnia Herz."
"45",5,-1.68338600025739,"Bosnia Herz."
"46",6,-2.28231653571305,"Bosnia Herz."
"47",7,-3.7749307987381,"Bosnia Herz."
"48",8,-3.23113583523582,"Bosnia Herz."
"49",9,-3.41450159157825,"Bosnia Herz."
"50",10,-4.33219586373792,"Bosnia Herz."
"51",11,-5.10952136841872,"Bosnia Herz."
"52",12,-5.26971738686359,"Bosnia Herz."
"53",13,-5.0356374561092,"Bosnia Herz."
"54",14,-5.7996901531559,"Bosnia Herz."
"55",15,-5.87984063054727,"Bosnia Herz."
"56",16,-6.52031237896049,"Bosnia Herz."
"57",17,-7.27755263440184,"Bosnia Herz."
"58",18,-7.71386688861066,"Bosnia Herz."
"59",19,-7.90238427353801,"Bosnia Herz."
"60",20,-8.34371470209467,"Bosnia Herz."
"61",1,-0.615579161367709,"Brazil"
"62",2,-0.588056022422309,"Brazil"
"63",3,-0.413057674509285,"Brazil"
"64",4,-0.874124992750592,"Brazil"
"65",5,-1.28798897569945,"Brazil"
"66",6,-1.07445849563889,"Brazil"
